node1,node2,weight
Dancing With The Stars. Taniec z Gwiazdami,Twoja twarz brzmi znajomo,12
Dancing With The Stars. Taniec z Gwiazdami,Hell's Kitchen Polska,71
Dancing With The Stars. Taniec z Gwiazdami,Pierwsza miłość,64
Dancing With The Stars. Taniec z Gwiazdami,TOP CHEF Polska,24
Chris Jansing,Morning Joe,63
Chris Jansing,Now With Alex Wagner,67
Chris Jansing,The Last Word With Lawrence O'Donnell,30
Chris Jansing,Andrea Mitchell Reports,57
Chris Jansing,The Rachel Maddow Show,55
Chris Jansing,The Daily Show,81
Chris Jansing,Up on MSNBC,83
Chris Jansing,The Ed Show,53
Chris Jansing,Jour Polaire,76
Chris Jansing,NBC Nightly News with Lester Holt,5
Chris Jansing,Alex Witt,39
Chris Jansing,Hardball with Chris Matthews,44
Chris Jansing,MSNBC Live with José Díaz-Balart,23
Chris Jansing,Meet the Press,14
Chris Jansing,PoliticsNation with Al Sharpton,84
Steve Austin's Broken Skull Challenge,CMT Music Awards,23
Steve Austin's Broken Skull Challenge,Love Island,93
Steve Austin's Broken Skull Challenge,Redneck Island,89
Steve Austin's Broken Skull Challenge,Couples Therapy,25
American Grit,Wayward Pines,95
American Grit,MasterChef,74
American Grit,Houdini & Doyle,52
American Grit,The X-Files,9
American Grit,The Grinder,41
American Grit,Superhuman,58
American Grit,FOX Teen Choice Awards,43
American Grit,The Exorcist FOX,30
American Grit,Pitch,65
American Grit,STAR,53
American Grit,American Idol,12
American Grit,The Orville,26
American Grit,Son of Zorn,95
American Grit,Rosewood,45
American Grit,The Mick,67
American Grit,The Four,85
American Grit,Living Biblically,71
American Grit,Scream Queens,7
American Grit,Bordertown,51
American Grit,Shots Fired,64
American Grit,New Year's Eve on FOX,28
American Grit,New Girl,82
American Grit,Gotham,82
American Grit,Family Guy,22
American Grit,Party Over Here,6
American Grit,The F Word,25
American Grit,Prison Break,27
American Grit,Grandfathered,34
American Grit,Ellen's Game of Games,62
American Grit,Lethal Weapon FOX,24
American Grit,Empire,23
American Grit,Ghosted,9
American Grit,Second Chance,39
American Grit,So You Think You Can Dance,40
American Grit,Love Connection FOX,12
American Grit,Showtime At The Apollo,38
American Grit,The Simpsons,6
American Grit,Glee,40
American Grit,The Gifted,86
American Grit,World’s Funniest,24
American Grit,MasterChef Junior,22
American Grit,Bones,79
American Grit,Making History,22
American Grit,Il en pense quoi Camille ?,49
American Grit,Home Free FOX,33
American Grit,Sleepy Hollow,46
American Grit,The Resident,67
American Grit,Lucifer,26
American Grit,Hell's Kitchen,39
American Grit,Girlboss,11
American Grit,BOOM,14
American Grit,Kicking & Screaming,74
American Grit,Beat Shazam,81
American Grit,24: Legacy,64
American Grit,Cooper Barrett's Guide to Surviving Life,27
American Grit,You The Jury,15
American Grit,My Kitchen Rules,33
American Grit,LA to Vegas,12
American Grit,Famous,46
American Grit,Brooklyn Nine-Nine,70
American Grit,APB FOX,17
American Grit,Coupled,5
American Grit,Hotel Hell,27
American Grit,The Last Man on Earth,87
American Grit,Bob's Burgers,9
